BASS	TENOR	ALTO	SOPRANO
3.86122	4.39162	4.5258	4.21082
3.5926	4.01047	4.55367	5.12687
4.99071	4.65179	4.74799	4.80621
5.13558	4.72517	5.17075	4.70295
3.92465	4.35937	4.47589	4.25834
4.09213	3.72581	4.43732	4.238
4.14784	5.18592	4.66216	4.32591
3.98903	4.75945	4.97497	4.6723
4.08872	3.79681	3.61854	3.88485
3.3341	3.35745	2.76648	3.80795
3.57901	4.82284	5.02393	4.70922
5.10053	5.1253	5.06686	4.76289
5.24514	5.09121	6.16724	4.46386
5.0775	5.26336	5.04985	4.80274
4.5148	5.01663	5.02133	4.85481
3.82173	4.74552	5.31477	5.19723
5.14163	4.80282	5.39848	5.25774
4.96647	4.25442	4.98144	4.58416	
